Khái niệm \"đường bộ\" được hiểu như thế nào là đúng? Đường bộ gồm:|1- Đường, cầu đường bộ.|2- Hầm đường bộ, bến phà đường bộ.|3- Đường, cầu đường bộ, hầm đường bộ, bến phà đường bộ và các công trình phụ trợ khác.|||3|1|1|2|1|1
Trên đường bộ trong khu vực đông dân cư, xe mô tô hai bánh, xe gắn máy tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu?|1- 60km/h|2- 50km/h.|3- 40km/h.|4- 30km/h.||4|1|0|0|0|0
Trên đường bộ trong khu vực đông dân cư, loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 40km/h?|1- Ô tô chở người trên 30 chỗ ngồi, ô tô tải có trọng tải từ 3500 kG trở lên, ô tô sơ mi rơ moóc, ô tô kéo rơ moóc, ô tô kéo xe khác, ô tô chuyên dùng, xe mô tô, xe gắn máy.|2- Ô tô chở người đến 30 chỗ ngồi, ô tô tải có trọng tải dưới 3500 kG.|3- Xe máy kéo, xe công nông, xe lam, xe lôi máy, xe xích lô máy, xe ba gác máy, xe máy chuyên dùng và các loại xe tương tự (loại đang được phép hoạt động).|||1|1|0|0|0|0
Trên đường bộ trong khu vực đông dân cư, loại xe cơ giới nào tham gia giao thông với tốc độ tối đa cho phép là 50km/h?|1- Ô tô chở người trên 30 chỗ ngồi, ô tô tải có trọng tải từ 3500 kG trở lên, ô tô sơ mi rơ moóc, ô tô kéo rơ moóc, ô tô kéo xe khác, ô tô chuyên dùng, xe mô tô, xe gắn máy.|2- Xe máy kéo, xe công nông, xe lam, xe lôi máy, xe xích lô máy, xe ba gác máy, xe máy chuyên dùng và các loại xe tương tự (loại xe đang được phép hoạt động).|3- Ô tô chở người đến 30 chỗ ngồi, ô tô tải có trọng tải dưới 3500 kG.|4- Tất cả các ý nêu trên.||4|1|0|0|0|0
Trên đường bộ ngoài khu vực đông dân cư, loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 50km/h?|1- Ô tô chở người đến 30 chỗ ngồi (trừ ô tô buýt), ô tô tải có tải trọng dưới 3500 kG.|2- Ô tô chở người trên 30 chỗ ngồi (trừ ô tô buýt), ô tô tải có trọng tải từ 3500 kG trở lên.|3- Ô tô kéo rơ moóc, ô tô kéo xe khác, xe gắn máy.|4- Ô tô buýt, ô tô sơ mi rơ moóc, ô tô chuyên dùng, xe mô tô.||4|1|0|0|0|0
Trên đường bộ ngoài khu vực đông dân cư, loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 60km/h?|1- Ô tô chở người đến 30 chỗ ngồi (trừ ô tô buýt), ô tô tải có tải trọng dưới 3500 kG.|2- Ô tô chở người trên 30 chỗ ngồi (trừ ô tô buýt), ô tô tải có trọng tải từ 3500 kG trở lên.|3- Ô tô kéo rơ moóc, ô tô kéo xe khác, xe gắn máy.|4- Ô tô buýt, ô tô sơ mi rơ moóc, ô tô chuyên dùng.||8|1|0|0|0|0
Trên đường bộ ngoài khu vực đông dân cư, loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 70km/h?|1- Ô tô chở người đến 30 chỗ ngồi (trừ ô tô buýt), ô tô tải có tải trọng dưới 3500 kG.|2- Ô tô chở người trên 30 chỗ ngồi (trừ ô tô buýt), ô tô tải có trọng tải từ 3500 kG trở lên.|3- Ô tô buýt, ô tô sơ mi rơ moóc, ô tô chuyên dùng, xe mô tô.|4- Ô tô kéo rơ moóc, ô tô kéo xe khác, xe gắn máy.||2|1|0|0|0|0
Trên đường bộ ngoài khu vực đông dân cư, loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 80 km/h?|1- Ô tô chở người đến 30 chỗ ngồi (trừ xe buýt), ô tô tải có tải trọng dưới 3500 kG.|2- Ô tô buýt, ô tô sơ mi rơ moóc, ô tô chuyên dùng, xe mô tô.|3- Ô tô chở người trên 30 chỗ ngồi (trừ ô tô buýt), ô tô tải có trọng tải từ 3500 kG trở lên.|4- Ô tô kéo rơ moóc, ô tô kéo xe khác, xe gắn máy.||1|1|0|0|0|0
Trên đường cao tốc, trừ khi nhập làn và tách làn, với điều kiện mặt đường khô ráo, xe cơ giới đang chạy với tốc độ đến 60 km/h, người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu?|1- 30m.|2- 40m.|3- 50m.|4- 60m.||1|1|0|0|0|0
Trên đường cao tốc, trừ khi nhập làn và tách làn, với điều kiện mặt đường khô ráo, xe cơ giới đang chạy với tốc độ trên 60 km/h đến 80 km/h, người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu?|1- 40m.|2- 50m.|3- 60m.|4- 70m.||2|1|0|0|0|0
Trên đường cao tốc, trừ khi nhập làn và tách làn, với điều kiện mặt đường khô ráo, xe cơ giới đang chạy với tốc độ trên 80 km/h đến 100 km/h, người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu?|1- 50m.|2- 60m.|3- 70m.|4- 80m.||4|1|0|0|0|0
Trên đường cao tốc, trừ khi nhập làn và tách làn, với điều kiện mặt đường khô ráo, xe cơ giới đang chạy với tốc độ trên 100 km/h đến 120 km/h, người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu là bao nhiêu?|1- 60m.|2- 70m.|3- 80m.|4- 90m.||8|1|0|0|0|0
Người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép đến mức không nguy hiểm trong các trường hợp nào dưới đây?|1- Có biển cảnh báo nguy hiểm.|2- Có biển cấm dừng xe, đỗ xe.|3- Có biển báo cấm vượt.|||1|1|0|0|0|0
Người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép đến mức không nguy hiểm trong các trường hợp nào dưới đây?|1- Khi vượt xe khác.|2- Khi cho xe chạy sau vượt.|3- Cả hai ý nêu trên.|||2|1|0|0|0|0
Khái niệm xe quá tải trọng của đường bộ được hiểu như thế nào là đúng?|1- Là xe có tổng trọng lượng (bao gồm trọng lượng của xe và trọng lượng của hàng hóa xếp trên xe) vượt quá năng lực chịu tải của cầu hoặc xe có tải trọng trục xe vượt quá năng lực chịu tải của mặt đường.|2- Là xe có tổng trọng lượng (bao gồm trọng lượng của xe và hàng) vượt quá năng lực chịu tải của cầu hoặc vượt quá năng lực chịu tải của mặt đường.|3- Cả hai ý nêu trên.|||1|2|0|0|1|0
Vận tải đa phương thức được hiểu như thế nào là đúng?|2- Là việc vận chuyển hàng hóa từ địa điểm nhận hàng đến địa điểm trả hàng cho người nhận hàng bằng ít nhất ba phương thức vận tải, trong đó có ít nhất hai phương thức vận tải bằng đường bộ trên cơ sở một hợp đồng vận tải đa phương thức.|2- Là việc vận chuyển hàng hóa từ địa điểm nhận hàng đến địa điểm trả hàng cho người nhận hàng bằng ít nhất hai phương thức vận tải, trong đó có phương thức vận tải bằng đường bộ trên cơ sở một hợp đồng vận tải đa phương thức.|3- Ý trả lời 1 và 2.|||2|2|0|0|0|0
Khái niệm \"hàng nguy hiểm\" được hiểu như thế nào là đúng?|1- Là hàng hóa dễ gây cháy, nổ và cấm vận chuyển trên đường vì có khả năng gây nguy hại cho con người, trong trường hợp đặc biệt cần vận chuyển phải có các xe chuyên dùng để bảo đảm an toàn.|2- Là hàng hóa có chứa các chất nguy hiểm khi chở trên đường có khả năng gây nguy hại tới tính mạng, sức khỏe con người, môi trường, an toàn và an ninh quốc gia.|3- Cả ý trả lời 1 và 2.|||2|2|0|0|1|0
Trong trường hợp đặc biệt, xe quá tải trọng, quá khổ giới hạn của đường bộ, xe bánh xích có thể lưu hành trên đường nhưng phải xin phép cơ quan nào?|1- Cơ quan Cảnh sát giao thông có thẩm quyền.|2- Cơ quan quản lý giao thông có thẩm quyền.|3- Ủy ban nhân dân tỉnh.|||2|2|0|0|1|0
Hoạt động vận tải đường bộ được hiểu như thế nào là đúng?|1- Hoạt động vận tải đường bộ là hoạt động kinh doanh vận tải đường bộ. Kinh doanh vận tải đường bộ là ngành nghề kinh doanh có điều kiện theo quy định của pháp luật.|2- Hoạt động vận tải đường bộ gồm hoạt động vận tải không kinh doanh và hoạt động kinh doanh vận tải đường bộ. Kinh doanh vận tải đường bộ là ngành nghề kinh doanh có điều kiện theo quy định của pháp luật.|3- Cả 02 ý nêu trên.|||2|2|0|0|1|0
Thời gian làm việc trong một ngày của người lái xe được quy định là bao nhiêu?|1- Không quá 8 giờ và không được lái xe liên tục quá 5 giờ.|2- Không quá 10 giờ và không được lái xe liên tục quá 4 giờ.|3- Không quá 8 giờ và không được lái xe liên tục quá 3 giờ.|||2|2|0|0|1|0
Kinh doanh vận tải hành khách bằng xe ô tô bao gồm những loại hình nào ghi ở dưới đây?|1- Theo tuyến cố định có xác định bến đi, bến đến với lịch trình, hành trình nhất định; theo hợp đồng không theo tuyến cố định được thực hiện theo hợp đồng vận tải; vận tải khách du lịch theo tuyến, chương trình và địa điểm du lịch.|2- Bằng xe buýt theo tuyến cố định có các điểm dừng đón, trả khách và xe chạy theo biểu đồ vận hành theo cự ly, phạm vi hoạt động nhất định; bằng xe taxi có lịch trình và hành trình theo yêu cầu của khách hàng, cước tính theo đồng hồ tính tiền.||||3|2|0|0|0|0
Hàng nguy hiểm, hàng có mùi hôi thối hoặc động vật, hàng hóa khác có ảnh hưởng đến sức khỏe của hành khách được nhận chở trên xe khách hay không?|1- Được chở.|2- Không được chở.||||2|2|0|0|1|0
Người vận tải, người lái xe khách phải chấp hành những quy định nào ghi ở dưới đây?|1- Đón, trả khách đúng nơi quy định; không chở hành khách trên mui, trong khoang hành lý hoặc để hành khách đu bám bên ngoài xe; không chở hàng nguy hiểm, hàng có mùi hôi thối hoặc động vật, hàng hóa khác có ảnh hưởng đến sức khỏe của hành khách.|2- Không chở hành khách, hành lý, hàng hóa vượt quá trọng tải, số người theo quy định; không để hàng hóa trong khoang chở khách; có biện pháp giữ gìn vệ sinh trong xe.||||3|2|0|0|1|0
Người kinh doanh vận tải hành khách có những nghĩa vụ nào theo quy định?|1- Thực hiện đúng, đầy đủ các cam kết về chất lượng dịch vụ vận tải, các nội dung ghi trong hợp đồng vận tải; mua bảo hiểm cho hành khách; phí bảo hiểm được tính vào giá vé hành khách.|2- Không phải bồi thường thiệt hại do người làm công, người đại diện gây ra do thực hiện yêu cầu của người kinh doanh vận tải trái quy định của Luật Giao thông đường bộ.|3- Giao vé, chứng từ thu cước, phí vận tải cho hành khách; bồi thường thiệt hại do người làm công, người đại diện gây ra do thực hiện yêu cầu của người kinh doanh vận tải trái quy định của Luật Giao thông đường bộ.|||5|2|0|0|1|0
Người kinh doanh vận tải hành khách có những quyền hạn nào theo quy định?|1- Tự ý thay đổi vị trí đón, trả khách theo hợp đồng vận chuyển những người đã có vé hoặc người trong danh sách hợp đồng.|2- Thu cước, phí vận tải.|3- Từ chối vận chuyển trước khi phương tiện rời bến, rời vị trí đón trả khách theo hợp đồng vận chuyển những người đã có vé hoặc người trong danh sách hợp đồng có hành vi gây rối trật tự công cộng, gây cản trở công việc kinh doanh vận tải, ảnh hưởng đến sức khỏe, tài sản của người khác, gian lận vé hoặc hành khách đang bị dịch bệnh nguy hiểm.|||6|2|0|0|1|0
Hành khách có các quyền gì khi đi trên xe vận tải hành khách?|1- Được vận chuyển theo đúng hợp đồng vận tải, cam kết của người kinh doanh về chất lượng vận tải; được miễn cước hành lý với trọng lượng không quá 20 kG và với kích thước phù hợp với thiết kế của xe; được từ chối chuyến đi trước khi phương tiện khởi hành và được trả lại tiền vé theo quy định của Bộ Giao thông vận tải.|2- Được vận chuyển theo đúng hợp đồng vận tải, cam kết của người kinh doanh về vận tải; được miễn cước hành lý với trọng lượng không quá 50 kG và với kích thước không quá cồng kềnh; được từ chối chuyến đi trước khi phương tiện khởi hành và được trả lại tiền vé.|3- Tất cả các quyền nêu trên.|||1|2|0|0|1|0
Hành khách có các nghĩa vụ gì khi đi trên xe vận tải hành khách?|1- Mua vé và trả cước, phí vận tải hành lý mang theo quá mức quy định; có mặt tại nơi xuất phát đúng thời gian thỏa thuận; chấp hành quy định về vận chuyển; thực hiện đúng hướng dẫn của lái xe, nhân viên phục vụ trên xe về các quy định bảo đảm trật tự, an toàn giao thông.|2- Được mang theo hành lý, hàng hóa mà pháp luật cấm lưu thông khi đã trả cước, phí vận tải.|3- Không mang theo hành lý, hàng hóa mà pháp luật cấm lưu thông.|||5|2|0|0|1|0
Việc vận chuyển hàng hóa bằng xe ô tô phải chấp hành các quy định nào ghi ở dưới đây?|1- Xếp hàng hóa vận chuyển trên xe vượt quá chiều cao quy định nhưng phải được chằng buộc chắc chắn.|2- Hàng vận chuyển trên xe phải được xếp đặt gọn gàng và phải được chằng buộc chắc chắn.|3- Khi vận chuyển hàng rời trong khu vực đô thị phải che đậy và không để rơi vãi.|||6|2|0|0|1|0
Người kinh doanh vận tải hàng hóa có các quyền gì theo quy định được ghi ở dưới đây?|1- Yêu cầu người thuê vận tải cung cấp thông tin cần thiết về hàng hóa để ghi vào giấy vận chuyển và có quyền kiểm tra tính xác thực của các thông tin đó.|2- Yêu cầu xếp hàng hóa vận chuyển trên xe vượt quá chiều cao quy định nhưng phải được chằng buộc chắc chắn.|3- Yêu cầu người thuê vận tải thanh toán đủ cước, phí vận tải và chi phí phát sinh; yêu cầu người thuê vận tải bồi thường thiệt hại do vi phạm hợp đồng; yêu cầu giám định hàng hóa khi cần thiết.|||5|2|0|0|1|0
Người kinh doanh vận tải hàng hóa có các nghĩa vụ gì theo quy định được ghi ở dưới đây?|1- Cung cấp phương tiện đúng loại, thời gian, địa điểm và giao hàng hóa cho người nhận hàng theo thỏa thuận trong hợp đồng; hướng dẫn xếp dỡ hàng hóa trên phương tiện.|2- Bồi thường thiệt hại cho người thuê vận tải do mất mát, hư hỏng hàng hóa xảy ra trong quá trình vận tải từ lúc nhận hàng đến lúc giao hàng, trừ trường hợp miễn bồi thường thiệt hại theo quy định của pháp luật; bồi thường thiệt hại do người làm công, người đại diện gây ra trong khi thực hiện công việc được người kinh doanh vận tải giao; chịu trách nhiệm về hậu quả mà người làm công, người đại diện gây do thực hiện yêu cầu của người kinh doanh vận tải trái với quy định của pháp luật.||||3|2|0|0|1|0
Người thuê vận tải hàng hóa có các quyền hạn gì theo quy định được ghi ở dưới đây?|1- Từ chối xếp hàng hóa lên phương tiện mà phương tiện đó không đúng thỏa thuận trong hợp đồng; yêu cầu người kinh doanh vận tải giao hàng đúng thời gian, địa điểm đã thỏa thuận trong hợp đồng; yêu cầu người kinh doanh vận tải bồi thường thiệt hại theo quy định của pháp luật.|2- Từ chối xếp hàng hóa lên phương tiện khi thấy phương tiện đó không phù hợp với yêu cầu; yêu cầu người kinh doanh vận tải giao hàng đúng hợp đồng đã thỏa thuận; yêu cầu người kinh doanh vận tải bồi thường thiệt hại khi người kinh doanh vận tải gây thiệt hại.||||1|2|0|0|1|0
Người thuê vận tải hàng hóa có các nghĩa vụ gì theo quy định được ghi dưới đây?|1- Chuẩn bị đầy đủ các giấy tờ hợp pháp về hàng hóa trước khi giao hàng hóa cho người kinh doanh vận tải; đóng gói hàng hóa đúng quy cách, ghi ký hiệu, mã hiệu hàng hóa đầy đủ, rõ ràng; giao hàng hóa cho người kinh doanh vận tải đúng thời gian, địa điểm và nội dung khác ghi trong giấy gửi hàng.|2- Thanh toán đủ cước, phí vận tải và chi phí phát sinh cho người kinh doanh vận tải hàng hóa; cử người áp tải hàng hóa trong quá trình vận tải đối với loại hàng hóa bắt buộc phải có người áp tải.||||3|2|0|0|1|0
Người nhận hàng có các quyền gì được ghi ở dưới đây?|1- Nhận và kiểm tra hàng hóa nhận được theo giấy vận chuyển hoặc chứng từ tương đương khác; yêu cầu người kinh doanh vận tải thanh toán chi phí phát sinh do giao hàng hóa chậm.|2- Yêu cầu hoặc thông báo cho người thuê vận tải để yêu cầu người kinh doanh vận tải bồi thường thiệt hại do mất mát, hư hỏng hàng hóa; yêu cầu giám định hàng hóa khi cần thiết.|3- Nhận hàng hóa không theo giấy vận chuyển hoặc chứng từ tương đương khác.|||3|2|0|0|1|0
Người nhận hàng có các nghĩa vụ gì được ghi ở dưới đây?|1- Nhận hàng hóa đúng thời gian, địa điểm đã thỏa thuận.|2- Xuất trình giấy vận chuyển và giấy tờ tùy thân cho người kinh doanh vận tải trước khi nhận hàng hóa; thanh toán chi phí phát sinh do nhận hàng chậm.||||3|2|0|0|1|0
Hàng siêu trường, siêu trọng được hiểu như thế nào là đúng?|1- Là hàng có kích thước hoặc trọng lượng vượt quá kích thước hoặc trọng lượng của xe.|2- Là hàng có kích thước hoặc trọng lượng vượt quá giới hạn quy định nhưng có thể tháo rời.|3- Là hàng có kích thước hoặc trọng lượng vượt quá giới hạn quy định nhưng không thể tháo rời ra được.|||4|2|0|0|0|0
Việc vận chuyển động vật sống phải tuân theo những quy định nào ghi ở dưới đây?|1- Tùy theo loại động vật sống, người kinh doanh vận tải yêu cầu người thuê vận tải áp tải để chăm sóc trong quá trình vận tải; người thuê vận tải chịu trách nhiệm về việc xếp dỡ động vật sống theo hướng dẫn của người kinh doanh vận tải; trường hợp người thuê vận tải không thực hiện được thì phải trả cước, phí xếp, dỡ cho người kinh doanh vận tải.|2- Việc vận chuyển động vật sống trên đường giao thông phải sử dụng xe cơ giới chuyên dùng.|3- Việc vận chuyển động vật sống trên đường phải tuân theo quy định của pháp luật về vệ sinh, phòng dịch và bảo vệ môi trường.|||5|2|0|0|1|0
Xe vận chuyển hàng nguy hiểm phải chấp hành những quy định nào ghi ở dưới đây?|1- Phải có giấy phép do cơ quan có thẩm quyền cấp; xe vận chuyển hàng nguy hiểm không được dừng, đỗ nơi đông người, những nơi dễ xảy ra nguy hiểm.|2- Phải được chuyên chở trên xe chuyên dùng để vận chuyển hàng nguy hiểm; xe vận chuyển hàng nguy hiểm phải chạy liên tục không được dừng, đỗ trong quá trình vận chuyển.|3- Cả 02 ý nêu trên.|||1|2|0|0|0|0
Trong đô thị, người lái xe buýt, xe taxi khách, xe taxi tải, xe chở hàng phải thực hiện những quy định gì ghi dưới đây?|1- Xe buýt phải chạy đúng tuyến, đúng lịch trình và dừng đỗ đúng nơi quy định; người lái xe chở hàng phải hoạt động đúng tuyến, phạm vi và thời gian quy định đối với từng loại xe.|2- Người lái xe taxi khách, xe taxi tải đón, trả khách, hàng hóa theo thỏa thuận giữa hành khách, chủ hàng và người lái xe nhưng phải chấp hành các quy định về đảm bảo an toàn giao thông.|3- Người lái xe taxi khác, xe taxi tải chỉ được đón, trả khách và hàng hóa tại điểm dừng, đỗ của xe buýt.|||3|2|0|0|1|0
Xe vệ sinh môi trường, xe ô tô chở phế thải, vật liệu rời khi hoạt động vận tải trong đô thị phải thực hiện những quy định gì ghi ở dưới đây?|1- Phải được che phủ kín không để rơi, vãi trên đường phố; trường hợp để rơi, vãi thì người vận tải phải chịu trách nhiệm thu dọn ngay.|2- Chỉ được hoạt động vận tải trong thời gian phù hợp trong ngày.||||3|2|0|0|1|0
Những ký hiệu hàng hóa dưới đây, ký hiệu nào chống mưa?|1- Hình 1.|2- Hình 2.|3- Hình 3.||171|2|2|0|0|1|0
Ký hiệu chuyên dùng nào biểu hiện hàng chuyên chở phải tránh ánh nắng mặt trời?|1- Hình 1.|2- Hình 2.|||172|1|2|0|0|1|0
Hình nào dưới đây biểu hiện hàng chuyển chở dễ vỡ phải cẩn thận?|1- Hình 1.|2- Hình 2.|||173|1|2|0|0|1|0
Hình nào dưới đây đòi hỏi hàng phải xếp theo hướng thẳng đứng?|1- Hình 1.|2- Hình 2.|3- Hình 3.||174|4|2|0|0|1|0
Hình nào dưới đây biểu hiện hàng hóa chuyên chở là chất lỏng?|1- Hình 1.|2- Hình 2.|||173|2|2|0|0|1|0
Đạo đức cơ bản của mỗi con người, của người lái xe thể hiện ở những điểm nào ghi ở dưới đây?|1- Tính trung thực và tính nguyên tắc; tính khiêm tốn và lòng dũng cảm.|2- Tình yêu lao động và tình yêu thương con người.||||3|3|0|1|1|1
Một số nét đẹp về truyền thống đạo đức của mỗi con người Việt Nam theo tư tưởng của Chủ tịch Hồ Chí Minh là?|1- Cần kiệm: Là lao động cần cù, siêng năng; làm việc có kế hoạch, sáng tạo có năng suất cao, với tinh thần tự lực cánh sinh, không lười biếng, không ỷ lại, không dựa dẫm; tiết kiệm sức lao động, tiết kiệm thì giờ, tiết kiệm tiền của dân, của nước, của bản thân mình, không hao phí, không bừa bãi, không phô trương hình thức.|2- Liêm, chính: Là không tham ô và luôn luôn tôn trọng, giữ gìn của công, của nhân dân; ngay thẳng, không tà, đúng đắn, chính trực, việc phải dù nhỏ cũng làm, việc trái dù nhỏ cũng tránh.||||3|3|0|1|1|1
Khái niệm về đạo đức nghề nghiệp của người lái xe kinh doanh vận tải được hiểu như thế nào?|1- Luôn ghi nhớ và thực hiện lời dạy của Bác: \"Yêu xe như con, quý xăng như máu\"; nắm vững quy định của pháp luật, nghiệm chỉnh chấp hành Luật Giao thông đường bộ, lái xe an toàn; có ý thức tổ chức kỷ luật, chấp hành nội quy, quy chế và xây dựng đơn vị nơi mình công tác; có tinh thần hợp tác, giúp đỡ đồng nghiệp; có ý thức bảo vệ môi trường; luôn tu dưỡng bản thân, có lối sống lành mạnh, tác phong công nghiệp.|2- Đối với hành khách phải kính trọng, thân ái, giúp đỡ; đối với khách hàng phải có trách nhiệm, hợp tác, thực hiện đầy đủ hợp đồng vận tải; đối với người tham gia giao thông phải tôn trọng, bảo vệ.||||3|3|0|1|1|1
Người lái xe kinh doanh vận tải khi thực hiện tốt việc rèn luyện, nâng cao trách nhiệm, đạo đức nghề nghiệp sẽ thu được kết quả như thế nào?|1- Được khách hàng, xã hội tôn trọng; được đồng nghiệp quý mến, giúp đỡ; được doanh nghiệp tin dùng và đóng góp nhiều cho xã hội.|2- Thu hút được khách hàng, góp phần quan trọng trong xây dựng thương hiệu, kinh doanh có hiệu quả cao.||||3|3|0|1|1|1
Hãy nêu trách nhiệm cơ bản của các tổ chức trong việc quản lý, giáo dục và nâng cao đạo đức nghề nghiệp của người lái xe?|1- Tuyên truyền phổ biến các quy định của pháp luật đặc biệt là các quy định của Luật Giao thông đường bộ, các văn bản quản lý về vận tải để người lái xe biết và thực hiện; thường xuyên kiểm tra giám sát người lái xe thực hiện các nội quy, quy chế của đơn vị.|2- Hiểu tâm lý, nguyện vọng người lái xe, động viên họ trong lúc khó khăn, thực hiện đầy đủ các quy định của pháp luật về quyền lợi của người lao động, quan tâm đến đời sống vật chất tinh thần của họ, có chế độ thưởng phạt nghiêm minh giúp họ hoàn thành nhiệm vụ.||||3|3|0|1|1|1
Người lái xe khách, xe buýt cần thực hiện những nhiệm vụ gì ghi ở dưới đây?|1- Luôn có ý thức về tính tổ chức, kỷ luật, thực hiện nghiêm biểu đồ xe chạy được phân công; thực hiện đúng hành trình, lịch trình, đón trả khách đúng nơi quy định, vận hành phương tiện theo đúng quy trình kỹ thuật đảm bảo an toàn cho người và phương tiện với tinh thần trách nhiệm cao.|2- Giúp đỡ hành khách khi đi xe, đặc biệt là những người khuyết tật, người già, trẻ em và phụ nữ có thai, có con nhỏ; tôn trọng và có trách nhiệm cao với hành khách.||||3|3|0|1|1|1
Người lái xe vận tải hàng hóa cần thực hiện những nhiệm vụ gì ghi ở dưới đây?|1- Thực hiện nghiêm chỉnh những nội dung hợp đồng giữa chủ phương tiện với chủ hàng trong việc vận chuyển và bảo quản hàng hóa trong quá trình vận chuyển; không chở hàng cấm, không xếp hàng quá trọng tải của xe, quá trọng tải cho phép của cầu, đường.|2- Khi vận chuyển hàng quá khổ, quá tải, hàng nguy hiểm, hàng siêu trường, siêu trọng phải có giấy phép, phải tôn trọng và thực hiện nghiêm ngặt những quy định về vận chuyển hàng quá khổ, quá tải, hàng siêu trường, siêu trọng, hàng nguy hiểm.||||3|3|0|1|1|1
Người lái xe kinh doanh vận tải cần thực hiện những công việc gì ghi ở dưới đây để thường xuyên rèn luyện nâng cao đạo đức nghề nghiệp?|1- Phải yêu quý xe, quản lý và sử dụng xe tốt; bảo dưỡng xe đúng định kỳ; thực hành tiết kiệm vật tư, nhiên liệu; luôn tu dưỡng bản thân, có lối sống lành mạnh, tác phong làm việc công nghiệp.|2- Nắm vững các quy định của pháp luật, tự giác chấp hành pháp luật, lái xe an toàn; coi hành khách như người thân, coi khách hàng là đối tác tin cậy; có ý thức tổ chức kỷ luật và xây dựng doanh nghiệp vững mạnh; có tinh thần hợp tác, tương trợ, giúp đỡ đồng nghiệp.||||3|3|0|1|1|1
Ngoài các phẩm chất của con người mới xã hội chủ nghĩa, người lái xe cần phải có phẩm chất đạo đức nghề nghiệp gì ghi ở dưới đây?|1- Tính tổ chức, kỷ luật, tuân theo pháp luật; có tác phong làm việc công nghiệp, giúp đỡ mọi người.|2- Độc lập công tác và có tinh thần khắc phục khó khăn.||||3|3|0|1|1|1
Người lái xe và nhân viên phục vụ trên xe ô tô vận tải hành khách phải có những trách nhiệm gì theo quy định được ghi ở dưới đây?|1- Kiểm tra các điều kiện bảo đảm an toàn của xe trước khi khởi hành; có thái độ văn minh, lịch sự, hướng dẫn hành khách ngồi đúng nơi quy định; kiểm tra việc sắp xếp, chằng buộc hành lý, hàng hóa bảo đảm an toàn.|2- Có biện pháp bảo vệ tính mạng, sức khỏe, tài sản của hành khách đi xe, giữ gìn trật tự, vệ sinh trong xe; đóng cửa lên xuống của xe trước và trong khi xe chạy.||||3|3|0|1|1|1
Khái niệm về văn hóa giao thông được hiểu như thế nào là đúng?|1- Là sự hiểu biết và chấp hành nghiêm chỉnh pháp luật về giao thông; là ý thức trách nhiệm với cộng đồng khi tham gia giao thông.|2- Là ứng xử có văn hóa, có tình yêu thương con người trong các tình huống không may xảy ra khi tham gia giao thông.||||3|3|1|1|1|1
Trên làn đường dành cho ô tô có vũng nước lớn, có nhiều người đi xe mô tô trên làn đường bên cạnh, người lái xe ô tô xử lý như thế nào là có văn hóa giao thông?|1- Cho xe chạy thật nhanh qua vũng nước.|2- Giảm tốc độ cho xe chạy chậm qua vũng nước.|3- Giảm tốc độ cho xe chạy qua làn đường dành cho mô tô để tránh vũng nước.|||2|3|0|1|1|1
Người lái xe cố tình vi phạm Luật Giao thông đường bộ, không phân biệt làn đường, vạch phân làn, phóng nhanh, vượt ẩu, vượt đèn đỏ, đi vào đường cấm, đường một chiều được coi là hành vi nào trong các hành vi sau đây?|1- Là bình thường.|2- Là thiếu văn hóa giao thông.|3- Là có văn hóa giao thông.|||2|3|1|1|1|1
Khi sơ cứu người bị tai nạn giao thông đường bộ, có vết thương chảy máu ngoài đỏ sẫm trào đều trên mặt vết thương, máu chảy ra số lượng ít bạn phải làm gì?|1- Thực hiện cầm máu trực tiếp.|2- Thực hiện cầm máu không thực tiếp (chặn động mạch).|3- Thực hiện cầm máu bằng garo.|||1|3|0|1|1|1
Khi sơ cứu người bị tai nạn giao thông đường bộ, có vết thương chảy máu ngoài đỏ tươi phun thành tia và phun mạnh khi mạnh đập bạn phải làm gì?|1- Thực hiện cầm máu trực tiếp.|2- Thực hiện cầm máu không thực tiếp (chặn động mạch).|3- Thực hiện cầm máu bằng garo.|||6|3|0|1|1|1
Trong các hành vi dưới đây, người lái xe có văn hóa giao thông phải đáp ứng các điều kiện nào?|1- Có thói quen chấp hành quy tắc giao thông đường bộ; nhường đường cho người đi bộ, người già, trẻ em, người khuyết tật.|2- Có thái độ ứng xử ôn hòa, văn minh, lịch sự khi xảy ra va chạm giao thông.||||3|3|0|1|1|1
